station_id,station_name,city,state,lat,lon,timestamp,PM2.5,PM10,NO2,SO2,CO,O3,NH3,reported_aqi,reported_aqi_category,reported_dominant_pollutant,aqi_is_valid,aqi_quality_flag,temperature_2m,relative_humidity_2m,rain,wind_speed_10m,cloud_cover,weather_trapping_score,weather_trapping_category,landuse_type_proxy,landuse_data_source,urban_pressure_score,road_density_proxy,environmental_risk_score,pm10_pm25_ratio,pm25_pm10_ratio,no2_co_ratio,o3_no2_ratio,source_score_vehicular_traffic,source_score_industrial_combustion,source_score_construction__road_dust,source_score_biomass__fine_particle_combustion,source_score_photochemical_smog,primary_pollution_source,primary_source_score,secondary_source_score,source_score_gap,source_attribution_confidence,source_attribution_confidence_category,source_evidence,landuse_source_alignment,recommended_intervention,notebook_03_processed_time
uttar_pradesh__hapur__anand_vihar_hapur_uppcb,"Anand Vihar, Hapur - UPPCB",Hapur,Uttar Pradesh,28.725645,77.749675,2026-07-16 05:00:00,65.0,117.0,12.0,17.0,,,1.0,114.66,Moderate,PM2.5,True,Valid AQI,33.8,57,0.0,10.0,0,60.46,High trapping,General urban / semi-urban proxy,Proxy from station/city naming,15,20,17.94,1.8,0.5555555555555556,,,0.0,0.0,27.13,0.0,0.0,Construction / road dust,27.13,0.0,27.13,27.13,Low confidence,PM10-heavy particulate pattern; road dust / coarse-particle likelihood,Partially aligned,"Medium priority: Prioritize road dust suppression, construction-site covering, mechanical sweeping, and enforcement of dust-control rules.",2026-07-16 10:55:13
uttar_pradesh__jhansi__shivaji_nagar_jhansi_uppcb,"Shivaji Nagar, Jhansi - UPPCB",Jhansi,Uttar Pradesh,25.4547,78.6039,2026-07-16 05:00:00,27.0,58.0,6.0,22.0,8.0,6.0,4.0,174.94,Moderate,CO,True,Valid AQI,33.5,56,0.0,14.4,100,62.13,High trapping,General urban / semi-urban proxy,Proxy from station/city naming,15,20,24.24,2.1481481481481484,0.46551724137931033,0.75,1.0,2.88,10.59,23.21,24.84,27.02,Photochemical smog,27.02,24.84,2.18,19.57,Low confidence,O3 and temperature-related signal; urban photochemical formation likelihood,Partially aligned,"Medium priority: Prioritize NOx/VOC precursor control, traffic-emission reduction, and ozone exposure advisories during sunny high-temperature periods.",2026-07-16 10:55:13
uttar_pradesh__kanpur__fti_kidwai_nagar_kanpur_uppcb,"FTI Kidwai Nagar, Kanpur - UPPCB",Kanpur,Uttar Pradesh,26.428282,80.327067,2026-07-16 05:00:00,56.0,75.0,27.0,30.0,35.0,11.0,3.0,406.6,Severe,CO,True,Valid AQI,34.4,53,0.0,12.8,30,56.92,Moderate trapping,Dense urban proxy,Proxy from station/city naming,60,55,64.38,1.3392857142857142,0.7466666666666667,0.7714285714285715,0.4074074074074074,49.49,29.38,37.99,34.25,43.23,Vehicular traffic,49.49,43.23,6.26,36.52,Low confidence,elevated NO2/CO signal; road-density or urban-pressure influence; traffic/commercial land-use proxy,Aligned,"High priority: Prioritize traffic-flow management, public transport promotion, anti-idling enforcement, and congestion reduction near the station.",2026-07-16 10:55:13
uttar_pradesh__kanpur__nsi_kalyanpur_kanpur_uppcb,"NSI Kalyanpur, Kanpur - UPPCB",Kanpur,Uttar Pradesh,26.509954,80.249612,2026-07-16 05:00:00,46.0,90.0,31.0,23.0,27.0,21.0,2.0,358.99,Very Poor,CO,True,Valid AQI,34.3,55,0.0,12.4,20,57.38,Moderate trapping,Dense urban proxy,Proxy from station/city naming,60,55,60.14,1.9565217391304348,0.5111111111111111,1.1481481481481481,0.6774193548387096,48.95,26.17,40.25,30.14,45.52,Vehicular traffic,48.95,45.52,3.43,35.29,Low confidence,elevated NO2/CO signal; road-density or urban-pressure influence; traffic/commercial land-use proxy,Aligned,"High priority: Prioritize traffic-flow management, public transport promotion, anti-idling enforcement, and congestion reduction near the station.",2026-07-16 10:55:13
uttar_pradesh__kanpur__nehru_nagar_kanpur_uppcb,"Nehru Nagar, Kanpur - UPPCB",Kanpur,Uttar Pradesh,26.4703136,80.3229863,2026-07-16 05:00:00,59.0,53.0,45.0,12.0,50.0,2.0,,500.0,Severe,CO,True,Valid AQI,34.7,51,0.0,12.0,21,56.73,Moderate trapping,Dense urban proxy,Proxy from station/city naming,60,55,72.99,0.8983050847457628,1.1132075471698113,0.9,0.044444444444444446,56.98,27.61,34.67,40.28,45.08,Vehicular traffic,56.98,45.08,11.9,43.46,Moderate confidence,elevated NO2/CO signal; road-density or urban-pressure influence; traffic/commercial land-use proxy,Aligned,"High priority: Prioritize traffic-flow management, public transport promotion, anti-idling enforcement, and congestion reduction near the station.",2026-07-16 10:55:13
uttar_pradesh__khora__prashant_garden_khora_uppcb,"Prashant Garden, Khora - UPPCB",Khora,Uttar Pradesh,28.61119,77.34206,2026-07-16 05:00:00,247.0,150.0,33.0,11.0,102.0,6.0,11.0,500.0,Severe,CO,True,Valid AQI,36.4,40,0.0,9.6,5,55.43,Moderate trapping,General urban / semi-urban proxy,Proxy from station/city naming,15,20,51.71,0.6072874493927125,1.6466666666666667,0.3235294117647059,0.18181818181818182,28.0,24.58,28.93,74.4,38.9,Biomass / fine-particle combustion,74.4,38.9,35.5,62.73,Moderate confidence,PM2.5-heavy fine-particle pattern; CO and stagnant-weather influence,Partially aligned,"High priority: Prioritize open-burning control, biomass-combustion monitoring, fine-particle exposure advisories, and local source inspection.",2026-07-16 10:55:13
uttar_pradesh__khurja__kalindi_kunj_khurja_uppcb,"Kalindi Kunj, Khurja - UPPCB",Khurja,Uttar Pradesh,28.2348927,77.8683002,2026-07-16 05:00:00,35.0,60.0,13.0,10.0,15.0,23.0,1.0,271.3,Poor,CO,True,Valid AQI,34.0,57,0.0,12.1,8,57.46,Moderate trapping,General urban / semi-urban proxy,Proxy from station/city naming,15,20,31.27,1.7142857142857142,0.5833333333333334,0.8666666666666667,1.7692307692307692,6.02,8.13,21.81,27.25,35.55,Photochemical smog,35.55,27.25,8.3,27.38,Low confidence,O3 and temperature-related signal; urban photochemical formation likelihood,Partially aligned,"High priority: Prioritize NOx/VOC precursor control, traffic-emission reduction, and ozone exposure advisories during sunny high-temperature periods.",2026-07-16 10:55:13
uttar_pradesh__lucknow__b_r_ambedkar_university_lucknow_uppcb,"B R Ambedkar University, Lucknow - UPPCB",Lucknow,Uttar Pradesh,26.766433,80.927299,2026-07-16 05:00:00,61.0,97.0,12.0,34.0,26.0,38.0,3.0,353.14,Very Poor,CO,True,Valid AQI,34.0,59,0.0,8.7,20,65.55,High trapping,Dense urban proxy,Proxy from station/city naming,60,55,63.0,1.5901639344262295,0.6288659793814433,0.46153846153846156,3.1666666666666665,43.93,27.08,38.85,35.27,45.13,Photochemical smog,45.13,43.93,1.2,31.95,Low confidence,O3 and temperature-related signal; urban photochemical formation likelihood,Partially aligned,"High priority: Prioritize NOx/VOC precursor control, traffic-emission reduction, and ozone exposure advisories during sunny high-temperature periods.",2026-07-16 10:55:13
uttar_pradesh__lucknow__gomti_nagar_lucknow_uppcb,"Gomti Nagar, Lucknow - UPPCB",Lucknow,Uttar Pradesh,26.86812,81.005119,2026-07-16 05:00:00,69.0,61.0,10.0,14.0,39.0,41.0,,431.51,Severe,CO,True,Valid AQI,33.9,61,0.0,5.4,18,72.05,High trapping,Dense urban proxy,Proxy from station/city naming,60,55,73.01,0.8840579710144928,1.1311475409836065,0.2564102564102564,4.1,45.94,20.86,32.53,44.66,45.27,Vehicular traffic,45.94,45.27,0.67,32.36,Low confidence,elevated NO2/CO signal; road-density or urban-pressure influence; traffic/commercial land-use proxy,Aligned,"High priority: Prioritize traffic-flow management, public transport promotion, anti-idling enforcement, and congestion reduction near the station.",2026-07-16 10:55:13
uttar_pradesh__lucknow__kendriya_vidyalaya_lucknow_cpcb,"Kendriya Vidyalaya, Lucknow - CPCB",Lucknow,Uttar Pradesh,26.906111,80.948222,2026-07-16 05:00:00,70.0,70.0,29.0,5.0,28.0,19.0,15.0,364.85,Very Poor,CO,True,Valid AQI,34.0,60,0.0,6.8,18,69.15,High trapping,Dense urban proxy,Proxy from station/city naming,60,55,65.59,1.0,1.0,1.0357142857142858,0.6551724137931034,48.64,18.97,34.29,40.64,44.7,Vehicular traffic,48.64,44.7,3.94,35.23,Low confidence,elevated NO2/CO signal; road-density or urban-pressure influence; traffic/commercial land-use proxy,Aligned,"High priority: Prioritize traffic-flow management, public transport promotion, anti-idling enforcement, and congestion reduction near the station.",2026-07-16 10:55:13
