state,city,station_count,mean_reported_aqi,max_reported_aqi,mean_source_confidence,mean_environmental_risk_score,dominant_city_source
Madhya Pradesh,Maihar,1,329.7,329.7,0.0,36.0,Insufficient pollutant signal
Madhya Pradesh,Mandideep,1,353.14,353.14,26.0,47.21,Photochemical smog
Madhya Pradesh,Pithampur,1,152.21,152.21,23.82,29.67,Photochemical smog
Madhya Pradesh,Sagar,1,406.6,406.6,22.54,42.79,Biomass / fine-particle combustion
Madhya Pradesh,Satna,1,306.27,306.27,24.55,36.54,Biomass / fine-particle combustion
Madhya Pradesh,Singrauli,1,98.0,98.0,34.01,20.21,Photochemical smog
Madhya Pradesh,Ujjain,1,347.28,347.28,23.72,39.27,Biomass / fine-particle combustion
Maharashtra,Ahmednagar,1,242.61,242.61,20.38,27.56,Biomass / fine-particle combustion
Maharashtra,Akola,1,285.65,285.65,22.14,27.6,Photochemical smog
Maharashtra,Ambernath,1,242.61,242.61,19.6,30.11,Biomass / fine-particle combustion
Maharashtra,Amravati,2,260.09,306.27,20.88,28.62,Photochemical smog
Maharashtra,Aurangabad,3,404.04,500.0,29.5,49.68,Industrial combustion
Maharashtra,Badlapur,1,312.13,312.13,23.85,37.79,Biomass / fine-particle combustion
Maharashtra,Beed,1,256.96,256.96,18.4,29.13,Photochemical smog
Maharashtra,Belapur,1,285.65,285.65,20.72,34.06,Biomass / fine-particle combustion
Maharashtra,Bhiwandi,1,228.26,228.26,20.88,31.34,Biomass / fine-particle combustion
Maharashtra,Boisar,1,285.65,285.65,25.56,38.84,Biomass / fine-particle combustion
Maharashtra,Chandrapur,2,465.76,500.0,26.84,53.12,Biomass / fine-particle combustion
Maharashtra,Dombivli,1,242.61,242.61,16.41,29.3,Photochemical smog
Maharashtra,Hingoli,1,187.47,187.47,20.64,22.82,Photochemical smog
Maharashtra,Jalna,1,213.91,213.91,22.78,33.68,Industrial combustion
Maharashtra,Kalyan,2,437.74,437.74,11.72,51.62,Insufficient pollutant signal
Maharashtra,Kolhapur,2,162.4,174.94,18.4,21.4,Biomass / fine-particle combustion
Maharashtra,Latur,1,228.26,228.26,19.01,26.07,Photochemical smog
Maharashtra,Mahad,1,329.7,329.7,31.64,41.62,Biomass / fine-particle combustion
Maharashtra,Malegaon,1,271.3,271.3,24.8,30.02,Biomass / fine-particle combustion
Maharashtra,Mira-Bhayandar,1,300.0,300.0,23.38,37.5,Biomass / fine-particle combustion
Maharashtra,Mumbai,21,303.26,456.42,30.11,58.81,Vehicular traffic
Maharashtra,Nagpur,4,300.65,364.85,31.38,56.53,Vehicular traffic
Maharashtra,Nanded,1,323.85,323.85,24.48,36.19,Photochemical smog
Maharashtra,Nashik,4,298.78,394.14,33.31,58.7,Vehicular traffic
Maharashtra,Navi Mumbai,6,237.67,481.32,17.91,31.65,Biomass / fine-particle combustion
Maharashtra,Parbhani,1,228.26,228.26,19.77,26.08,Photochemical smog
Maharashtra,Pimpri-Chinchwad,6,295.35,431.51,17.13,34.47,Biomass / fine-particle combustion
Maharashtra,Pune,5,423.16,500.0,37.01,67.32,Vehicular traffic
Maharashtra,Sangli,1,242.61,242.61,18.07,27.96,Biomass / fine-particle combustion
Maharashtra,Solapur,2,234.34,306.27,19.69,25.49,Biomass / fine-particle combustion
Maharashtra,Thane,2,249.78,271.3,23.64,34.58,Photochemical smog
Maharashtra,Ulhasnagar,2,332.63,335.56,23.0,38.49,Biomass / fine-particle combustion
Maharashtra,Virar,1,353.14,353.14,21.18,40.49,Biomass / fine-particle combustion
Meghalaya,Byrnihat,1,214.66,214.66,42.44,37.04,Biomass / fine-particle combustion
Meghalaya,Shillong,1,,,12.2,,Photochemical smog
Mizoram,Aizawl,1,112.28,112.28,18.88,21.94,Photochemical smog
Nagaland,Kohima,1,124.81,124.81,27.1,45.89,Vehicular traffic
Odisha,Angul,1,500.0,500.0,26.39,52.66,Biomass / fine-particle combustion
Odisha,Balasore,1,394.14,394.14,21.99,43.15,Biomass / fine-particle combustion
Odisha,Barbil,1,312.13,312.13,25.39,41.89,Biomass / fine-particle combustion
Odisha,Baripada,1,124.81,124.81,21.0,21.5,Biomass / fine-particle combustion
Odisha,Bhubaneswar,2,462.64,481.32,24.22,41.7,Biomass / fine-particle combustion
Odisha,Bileipada,1,341.42,341.42,29.11,42.41,Biomass / fine-particle combustion
Odisha,Brajrajnagar,1,364.85,364.85,28.17,50.13,Biomass / fine-particle combustion
Odisha,Byasanagar,1,,,0.0,,Insufficient pollutant signal
Odisha,Cuttack,1,500.0,500.0,32.26,59.84,Industrial combustion
Odisha,Keonjhar,1,406.6,406.6,22.42,43.72,Biomass / fine-particle combustion
Odisha,Rairangpur,1,271.3,271.3,23.05,36.1,Biomass / fine-particle combustion
Odisha,Rourkela,3,356.32,456.42,27.35,50.17,Biomass / fine-particle combustion
Odisha,Suakati,1,174.94,174.94,19.12,26.18,Construction / road dust
Odisha,Talcher,1,353.14,353.14,26.03,41.39,Industrial combustion
Odisha,Tensa,1,55.0,55.0,21.79,18.34,Construction / road dust
Puducherry,Puducherry,1,285.65,285.65,28.32,30.21,Photochemical smog
Punjab,Amritsar,1,370.71,370.71,34.75,48.02,Biomass / fine-particle combustion
Punjab,Bathinda,1,500.0,500.0,31.78,53.85,Biomass / fine-particle combustion
Punjab,Jalandhar,1,443.96,443.96,28.99,54.15,Photochemical smog
Punjab,Khanna,1,468.87,468.87,28.32,55.42,Biomass / fine-particle combustion
Punjab,Ludhiana,1,347.28,347.28,38.79,64.07,Photochemical smog
Punjab,Mandi Gobindgarh,1,500.0,500.0,33.23,64.31,Industrial combustion
Punjab,Patiala,1,358.99,358.99,25.96,43.71,Biomass / fine-particle combustion
Punjab,Rupnagar,1,500.0,500.0,49.84,59.49,Biomass / fine-particle combustion
Rajasthan,Ajmer,1,300.0,300.0,24.3,30.79,Photochemical smog
Rajasthan,Alwar,1,347.28,347.28,30.41,34.94,Photochemical smog
Rajasthan,Banswara,1,187.47,187.47,22.85,25.24,Photochemical smog
Rajasthan,Baran,1,412.83,412.83,27.71,41.6,Photochemical smog
Rajasthan,Barmer,1,200.0,200.0,31.12,35.55,Construction / road dust
Rajasthan,Bharatpur,1,228.26,228.26,30.48,25.49,Photochemical smog
Rajasthan,Bhilwara,1,425.28,425.28,23.73,46.76,Biomass / fine-particle combustion
Rajasthan,Bhiwadi,2,332.42,364.85,29.34,36.63,Photochemical smog
Rajasthan,Bikaner,1,256.96,256.96,29.43,26.8,Photochemical smog
Rajasthan,Bundi,1,256.96,256.96,30.35,29.17,Photochemical smog
Rajasthan,Chittorgarh,1,137.34,137.34,28.11,20.65,Photochemical smog
Rajasthan,Churu,1,312.13,312.13,39.24,42.78,Construction / road dust
