state,city,station_count,valid_station_count,mean_reported_aqi,max_reported_aqi,mean_weather_trapping_score,mean_urban_pressure_score,mean_road_density_proxy,mean_environmental_risk_score
Maharashtra,Mahad,1,1,329.7,329.7,69.25,15.0,20.0,41.62
Maharashtra,Malegaon,1,1,271.3,271.3,54.46,15.0,20.0,30.02
Maharashtra,Mira-Bhayandar,1,1,300.0,300.0,65.99,15.0,20.0,37.5
Maharashtra,Mumbai,21,20,303.26,456.42,66.59,60.0,55.0,58.81
Maharashtra,Nagpur,4,4,300.65,364.85,61.76,60.0,55.0,56.53
Maharashtra,Nanded,1,1,323.85,323.85,57.53,15.0,20.0,36.19
Maharashtra,Nashik,4,4,298.78,394.14,59.98,63.75,68.75,58.7
Maharashtra,Navi Mumbai,6,6,237.67,481.32,62.48,18.33,21.67,31.65
Maharashtra,Parbhani,1,1,228.26,228.26,54.64,15.0,20.0,26.08
Maharashtra,Pimpri-Chinchwad,6,5,295.35,431.51,59.94,15.0,20.0,34.47
Maharashtra,Pune,5,5,423.16,500.0,60.28,60.0,55.0,67.32
Maharashtra,Sangli,1,1,242.61,242.61,55.93,15.0,20.0,27.96
Maharashtra,Solapur,2,2,234.34,306.27,51.86,15.0,20.0,25.49
Maharashtra,Thane,2,2,249.78,271.3,70.21,15.0,20.0,34.58
Maharashtra,Ulhasnagar,2,2,332.63,335.56,61.09,15.0,20.0,38.49
Maharashtra,Virar,1,1,353.14,353.14,61.31,15.0,20.0,40.49
Meghalaya,Byrnihat,1,1,214.66,214.66,83.94,15.0,20.0,37.04
Meghalaya,Shillong,1,0,,,68.3,15.0,20.0,
Mizoram,Aizawl,1,1,112.28,112.28,70.59,15.0,20.0,21.94
Nagaland,Kohima,1,1,124.81,124.81,95.64,30.0,75.0,45.89
Odisha,Angul,1,1,500.0,500.0,57.69,15.0,20.0,52.66
Odisha,Balasore,1,1,394.14,394.14,58.53,15.0,20.0,43.15
Odisha,Barbil,1,1,312.13,312.13,73.8,15.0,20.0,41.89
Odisha,Baripada,1,1,124.81,124.81,66.74,15.0,20.0,21.5
Odisha,Bhubaneswar,2,2,462.64,481.32,39.78,15.0,20.0,41.7
Odisha,Bileipada,1,1,341.42,341.42,68.53,15.0,20.0,42.41
Odisha,Brajrajnagar,1,1,364.85,364.85,81.79,15.0,20.0,50.13
Odisha,Byasanagar,1,0,,,81.74,15.0,20.0,
Odisha,Cuttack,1,1,500.0,500.0,54.47,35.0,30.0,59.84
Odisha,Keonjhar,1,1,406.6,406.6,57.12,15.0,20.0,43.72
Odisha,Rairangpur,1,1,271.3,271.3,69.05,15.0,20.0,36.1
Odisha,Rourkela,3,3,356.32,456.42,77.0,21.67,23.33,50.17
Odisha,Suakati,1,1,174.94,174.94,66.76,15.0,20.0,26.18
Odisha,Talcher,1,1,353.14,353.14,63.46,15.0,20.0,41.39
Odisha,Tensa,1,1,55.0,55.0,74.75,15.0,20.0,18.34
Puducherry,Puducherry,1,1,285.65,285.65,51.73,15.0,20.0,30.21
Punjab,Amritsar,1,1,370.71,370.71,75.43,15.0,20.0,48.02
Punjab,Bathinda,1,1,500.0,500.0,60.54,15.0,20.0,53.85
Punjab,Jalandhar,1,1,443.96,443.96,73.77,15.0,20.0,54.15
Punjab,Khanna,1,1,468.87,468.87,71.27,15.0,20.0,55.42
Punjab,Ludhiana,1,1,347.28,347.28,69.43,60.0,55.0,64.07
Punjab,Mandi Gobindgarh,1,1,500.0,500.0,65.19,35.0,30.0,64.31
Punjab,Patiala,1,1,358.99,358.99,67.72,15.0,20.0,43.71
Punjab,Rupnagar,1,1,500.0,500.0,74.07,15.0,20.0,59.49
Rajasthan,Ajmer,1,1,300.0,300.0,49.92,15.0,20.0,30.79
Rajasthan,Alwar,1,1,347.28,347.28,49.31,15.0,20.0,34.94
Rajasthan,Banswara,1,1,187.47,187.47,61.73,15.0,20.0,25.24
Rajasthan,Baran,1,1,412.83,412.83,50.65,15.0,20.0,41.6
Rajasthan,Barmer,1,1,200.0,200.0,54.08,30.0,75.0,35.55
Rajasthan,Bharatpur,1,1,228.26,228.26,53.22,15.0,20.0,25.49
Rajasthan,Bhilwara,1,1,425.28,425.28,60.23,15.0,20.0,46.76
Rajasthan,Bhiwadi,2,2,332.42,364.85,46.47,25.0,25.0,36.63
Rajasthan,Bikaner,1,1,256.96,256.96,49.96,15.0,20.0,26.8
Rajasthan,Bundi,1,1,256.96,256.96,55.63,15.0,20.0,29.17
Rajasthan,Chittorgarh,1,1,137.34,137.34,61.91,15.0,20.0,20.65
Rajasthan,Churu,1,1,312.13,312.13,46.39,30.0,75.0,42.78
Rajasthan,Dausa,1,1,431.51,431.51,46.53,15.0,20.0,41.62
Rajasthan,Dholpur,1,1,323.85,323.85,46.6,15.0,20.0,31.63
Rajasthan,Dungarpur,1,1,376.57,376.57,61.81,15.0,20.0,42.88
Rajasthan,Hanumangarh,1,1,300.0,300.0,51.86,15.0,20.0,31.6
Rajasthan,Jaipur,6,6,421.68,500.0,51.23,63.33,58.33,65.03
Rajasthan,Jaisalmer,1,1,228.26,228.26,48.75,15.0,20.0,23.63
Rajasthan,Jalore,1,1,256.96,256.96,51.78,15.0,20.0,27.56
Rajasthan,Jhalawar,1,1,437.74,437.74,57.39,15.0,20.0,46.73
Rajasthan,Jhunjhunu,1,1,200.0,200.0,47.58,15.0,20.0,20.51
Rajasthan,Jodhpur,5,4,282.28,456.42,51.24,15.0,20.0,29.7
Rajasthan,Karauli,1,1,306.27,306.27,47.47,15.0,20.0,30.35
Rajasthan,Khairthal,1,1,306.27,306.27,45.31,15.0,20.0,29.45
Rajasthan,Kota,3,3,320.64,406.6,54.05,15.0,20.0,34.44
Rajasthan,Nagaur,1,1,306.27,306.27,49.77,15.0,20.0,31.31
Rajasthan,Pali,1,1,370.71,370.71,54.84,15.0,20.0,39.43
Rajasthan,Pratapgarh,1,1,300.0,300.0,49.6,15.0,20.0,30.66
Rajasthan,Rajsamand,1,1,382.43,382.43,65.76,15.0,20.0,45.08
Rajasthan,Sawai Madhopur,1,1,285.65,285.65,48.47,15.0,20.0,28.85
Rajasthan,Sikar,1,1,242.61,242.61,50.07,15.0,20.0,25.51
Rajasthan,Sri Ganganagar,1,1,306.27,306.27,56.01,15.0,20.0,33.92
Rajasthan,Tonk,1,1,388.28,388.28,49.84,15.0,20.0,38.98
Rajasthan,Udaipur,1,1,400.0,400.0,60.96,15.0,20.0,44.71
Sikkim,Gangtok,1,1,124.81,124.81,82.71,15.0,20.0,28.16
Tamil Nadu,Chennai,6,6,331.7,500.0,58.15,61.67,56.67,58.73
Tamil Nadu,Coimbatore,1,1,187.47,187.47,60.7,15.0,20.0,24.81
