station_id,station_name,city,state,lat,lon,timestamp,snapshot_fetch_time,PM2.5,PM10,NO2,SO2,CO,O3,NH3,aqi,aqi_category,dominant_pollutant,aqi_is_valid,aqi_quality_flag,reported_aqi,reported_aqi_category,reported_dominant_pollutant,weather_time,temperature_2m,relative_humidity_2m,precipitation,rain,wind_speed_10m,wind_direction_10m,surface_pressure,cloud_cover,weather_trapping_score,weather_trapping_category,weather_data_available,geo_region_proxy,landuse_type_proxy,landuse_data_source,urban_pressure_score,urban_pressure_category,road_density_proxy,road_density_category,road_density_data_source,geospatial_data_level,environmental_risk_score,environmental_risk_category,notebook_02_processed_time
assam__guwahati__pan_bazaar_guwahati_pcba,"Pan Bazaar, Guwahati - PCBA",Guwahati,Assam,26.1875,91.744194,2026-07-16 05:00:00,2026-07-16 05:38:19,186.0,173.0,0.0,35.0,23.0,11.0,1.0,350.88,Very Poor,PM2.5,True,Valid AQI,350.88,Very Poor,PM2.5,2026-07-16T10:30,31.4,75,0.0,0.0,2.9,259,996.7,99,89.83,Very high trapping,True,East India,General urban / semi-urban proxy,Proxy from station/city naming,15,Low urban pressure,20,Low road density proxy,Proxy from city/station naming,Proxy geospatial features,52.18,High,2026-07-16 10:51:20
assam__guwahati__railway_colony_guwahati_pcba,"Railway Colony, Guwahati - PCBA",Guwahati,Assam,26.181742,91.78063,2026-07-16 05:00:00,2026-07-16 05:38:19,22.0,24.0,3.0,49.0,15.0,23.0,1.0,271.3,Poor,CO,True,Valid AQI,271.3,Poor,CO,2026-07-16T10:30,31.4,75,0.0,0.0,2.9,259,997.5,99,89.83,Very high trapping,True,East India,Traffic / commercial proxy,Proxy from station/city naming,30,Moderate urban pressure,75,High road density proxy,Proxy from city/station naming,Proxy geospatial features,57.1,High,2026-07-16 10:51:20
assam__nagaon__christianpatty_nagaon_pcba,"Christianpatty, Nagaon - PCBA",Nagaon,Assam,26.349082,92.68449,2026-07-16 05:00:00,2026-07-16 05:38:19,62.0,55.0,1.0,12.0,22.0,11.0,4.0,329.7,Very Poor,CO,True,Valid AQI,329.7,Very Poor,CO,2026-07-16T10:30,31.2,74,0.0,0.0,2.4,17,996.1,90,89.46,Very high trapping,True,East India,General urban / semi-urban proxy,Proxy from station/city naming,15,Low urban pressure,20,Low road density proxy,Proxy from city/station naming,Proxy geospatial features,50.06,High,2026-07-16 10:51:20
assam__nalbari__bata_chowk_nalbari_pcba,"Bata Chowk, Nalbari - PCBA",Nalbari,Assam,26.446912,91.439057,2026-07-16 05:00:00,2026-07-16 05:38:19,63.0,46.0,14.0,8.0,21.0,19.0,6.0,323.85,Very Poor,CO,True,Valid AQI,323.85,Very Poor,CO,2026-07-16T10:30,32.0,74,0.0,0.0,11.4,266,997.9,42,68.37,High trapping,True,East India,Traffic / commercial proxy,Proxy from station/city naming,30,Moderate urban pressure,75,High road density proxy,Proxy from city/station naming,Proxy geospatial features,53.04,High,2026-07-16 10:51:20
assam__silchar__tarapur_silchar_pcba,"Tarapur, Silchar - PCBA",Silchar,Assam,24.82827,92.79525,2026-07-16 05:00:00,2026-07-16 05:38:19,25.0,55.0,19.0,5.0,32.0,4.0,1.0,388.28,Very Poor,CO,True,Valid AQI,388.28,Very Poor,CO,2026-07-16T10:30,32.2,70,0.0,0.0,6.1,294,1001.4,12,73.5,High trapping,True,East India,General urban / semi-urban proxy,Proxy from station/city naming,15,Low urban pressure,20,Low road density proxy,Proxy from city/station naming,Proxy geospatial features,48.85,Moderate,2026-07-16 10:51:20
assam__sivasagar__girls_college_sivasagar_pcba,"Girls College, Sivasagar - PCBA",Sivasagar,Assam,26.987634,94.636574,2026-07-16 05:00:00,2026-07-16 05:38:19,15.0,21.0,12.0,7.0,19.0,29.0,6.0,312.13,Very Poor,CO,True,Valid AQI,312.13,Very Poor,CO,2026-07-16T10:30,26.9,94,0.2,0.0,1.6,333,992.9,100,99.26,Very high trapping,True,East India,General urban / semi-urban proxy,Proxy from station/city naming,15,Low urban pressure,20,Low road density proxy,Proxy from city/station naming,Proxy geospatial features,52.51,High,2026-07-16 10:51:20
bihar__araria__kharahiya_basti_araria_bspcb,"Kharahiya Basti, Araria - BSPCB",Araria,Bihar,26.146529,87.454184,2026-07-16 05:00:00,2026-07-16 05:38:19,23.0,23.0,15.0,21.0,20.0,38.0,4.0,317.99,Very Poor,CO,True,Valid AQI,317.99,Very Poor,CO,2026-07-16T10:30,30.7,77,0.0,0.0,10.8,90,997.3,73,73.66,High trapping,True,East India,General urban / semi-urban proxy,Proxy from station/city naming,15,Low urban pressure,20,Low road density proxy,Proxy from city/station naming,Proxy geospatial features,42.37,Moderate,2026-07-16 10:51:20
bihar__arrah__new_dm_office_arrah_bspcb,"New DM Office, Arrah - BSPCB",Arrah,Bihar,25.5626095,84.663264,2026-07-16 05:00:00,2026-07-16 05:38:19,37.0,33.0,7.0,5.0,48.0,8.0,2.0,487.55,Severe,CO,True,Valid AQI,487.55,Severe,CO,2026-07-16T10:30,32.3,71,0.1,0.0,7.9,123,995.8,100,79.41,High trapping,True,Central India,General urban / semi-urban proxy,Proxy from station/city naming,15,Low urban pressure,20,Low road density proxy,Proxy from city/station naming,Proxy geospatial features,60.56,High,2026-07-16 10:51:20
bihar__aurangabad__gurdeo_nagar_aurangabad_bspcb,"Gurdeo Nagar, Aurangabad - BSPCB",Aurangabad,Bihar,24.75746,84.366208,2026-07-16 05:00:00,2026-07-16 05:38:19,,,8.0,8.0,103.0,7.0,2.0,500.0,Severe,CO,False,Insufficient pollutants,,Unknown,,2026-07-16T10:30,33.0,65,0.0,0.0,4.9,107,990.2,100,82.63,Very high trapping,True,Central India,General urban / semi-urban proxy,Proxy from station/city naming,15,Low urban pressure,20,Low road density proxy,Proxy from city/station naming,Proxy geospatial features,,Unknown,2026-07-16 10:51:20
bihar__begusarai__lohiyanagar_begusarai_bspcb,"Lohiyanagar, Begusarai - BSPCB",Begusarai,Bihar,25.42742023,86.13886079,2026-07-16 05:00:00,2026-07-16 05:38:19,33.0,37.0,9.0,18.0,17.0,40.0,16.0,300.0,Poor,CO,True,Valid AQI,300.0,Poor,CO,2026-07-16T10:30,32.3,69,0.0,0.0,9.2,78,998.1,91,75.42,High trapping,True,East India,General urban / semi-urban proxy,Proxy from station/city naming,15,Low urban pressure,20,Low road density proxy,Proxy from city/station naming,Proxy geospatial features,41.43,Moderate,2026-07-16 10:51:20
