state,city,station_count,valid_station_count,mean_aqi,max_aqi,severe_station_count,very_poor_station_count,poor_station_count,city_risk_level,data_quality
Jharkhand,Dhanbad,1,1,124.81,124.81,0,0,0,Moderate,Valid station data available
Jharkhand,Jorapokhar,1,1,431.51,431.51,1,0,0,Severe,Valid station data available
Karnataka,Bagalkot,1,1,341.42,341.42,0,1,0,Very Poor,Valid station data available
Karnataka,Bengaluru,10,10,253.32,500.0,3,1,1,Poor,Valid station data available
Karnataka,Chamarajanagar,1,1,329.7,329.7,0,1,0,Very Poor,Valid station data available
Karnataka,Chikkaballapur,1,1,347.28,347.28,0,1,0,Very Poor,Valid station data available
Karnataka,Chikkamagaluru,1,1,271.3,271.3,0,0,1,Poor,Valid station data available
Karnataka,Dharwad,1,1,431.51,431.51,1,0,0,Severe,Valid station data available
Karnataka,Gadag,1,1,242.61,242.61,0,0,1,Poor,Valid station data available
Karnataka,Hubballi,1,1,256.96,256.96,0,0,1,Poor,Valid station data available
Karnataka,Kalaburagi,1,1,382.43,382.43,0,1,0,Very Poor,Valid station data available
Karnataka,Karwar,1,1,364.85,364.85,0,1,0,Very Poor,Valid station data available
Karnataka,Koppal,1,1,323.85,323.85,0,1,0,Very Poor,Valid station data available
Karnataka,Madikeri,1,1,242.61,242.61,0,0,1,Poor,Valid station data available
Karnataka,Mangalore,1,1,83.1,83.1,0,0,0,Satisfactory,Valid station data available
Karnataka,Mysuru,1,1,64.0,64.0,0,0,0,Satisfactory,Valid station data available
Karnataka,Ramanagara,1,1,335.56,335.56,0,1,0,Very Poor,Valid station data available
Karnataka,Shivamogga,1,1,364.85,364.85,0,1,0,Very Poor,Valid station data available
Karnataka,Vijayapura,1,1,329.7,329.7,0,1,0,Very Poor,Valid station data available
Karnataka,Yadgir,1,1,213.91,213.91,0,0,1,Poor,Valid station data available
Kerala,Thiruvananthapuram,1,0,,,0,0,0,Unknown,No valid AQI station after pollutant coverage check
Kerala,Thrissur,1,1,329.7,329.7,0,1,0,Very Poor,Valid station data available
Madhya Pradesh,Bhopal,3,3,224.81,312.13,0,1,1,Poor,Valid station data available
Madhya Pradesh,Damoh,1,1,323.85,323.85,0,1,0,Very Poor,Valid station data available
Madhya Pradesh,Dewas,1,1,109.0,109.0,0,0,0,Moderate,Valid station data available
Madhya Pradesh,Gwalior,3,3,393.18,425.28,2,1,0,Very Poor,Valid station data available
Madhya Pradesh,Indore,5,5,349.81,500.0,2,1,1,Very Poor,Valid station data available
Madhya Pradesh,Jabalpur,4,4,377.86,493.77,2,1,1,Very Poor,Valid station data available
Madhya Pradesh,Katni,1,1,370.71,370.71,0,1,0,Very Poor,Valid station data available
Madhya Pradesh,Maihar,1,1,329.7,329.7,0,1,0,Very Poor,Valid station data available
Madhya Pradesh,Mandideep,1,1,353.14,353.14,0,1,0,Very Poor,Valid station data available
Madhya Pradesh,Pithampur,1,1,152.21,152.21,0,0,0,Moderate,Valid station data available
Madhya Pradesh,Sagar,1,1,406.6,406.6,1,0,0,Severe,Valid station data available
Madhya Pradesh,Satna,1,1,306.27,306.27,0,1,0,Very Poor,Valid station data available
Madhya Pradesh,Singrauli,1,1,98.0,98.0,0,0,0,Satisfactory,Valid station data available
Madhya Pradesh,Ujjain,1,1,347.28,347.28,0,1,0,Very Poor,Valid station data available
Maharashtra,Ahmednagar,1,1,242.61,242.61,0,0,1,Poor,Valid station data available
Maharashtra,Akola,1,1,285.65,285.65,0,0,1,Poor,Valid station data available
Maharashtra,Ambernath,1,1,242.61,242.61,0,0,1,Poor,Valid station data available
Maharashtra,Amravati,2,2,260.09,306.27,0,1,1,Poor,Valid station data available
Maharashtra,Aurangabad,3,3,404.04,500.0,1,2,0,Severe,Valid station data available
Maharashtra,Badlapur,1,1,312.13,312.13,0,1,0,Very Poor,Valid station data available
Maharashtra,Beed,1,1,256.96,256.96,0,0,1,Poor,Valid station data available
Maharashtra,Belapur,1,1,285.65,285.65,0,0,1,Poor,Valid station data available
Maharashtra,Bhiwandi,1,1,228.26,228.26,0,0,1,Poor,Valid station data available
Maharashtra,Boisar,1,1,285.65,285.65,0,0,1,Poor,Valid station data available
Maharashtra,Chandrapur,2,2,465.76,500.0,2,0,0,Severe,Valid station data available
