station_name,city,state,lat,lon,timestamp,PM2.5,PM10,NO2,SO2,CO,O3,NH3,PM2.5_sub_index,PM10_sub_index,NO2_sub_index,SO2_sub_index,CO_sub_index,O3_sub_index,NH3_sub_index,aqi,dominant_pollutant,aqi_category,snapshot_fetch_time,station_id,valid_pollutant_count,has_particulate,aqi_is_valid,aqi_quality_flag,reported_aqi,reported_aqi_category,reported_dominant_pollutant
"DM Office_Kachari Chowk, Bhagalpur - BSPCB",Bhagalpur,Bihar,25.251013,86.989001,2026-07-16 05:00:00,34.0,79.0,11.0,16.0,21.0,19.0,4.0,56.07,79.0,13.75,20.0,323.85,19.0,1.0,323.85,CO,Very Poor,2026-07-16 05:38:19,bihar__bhagalpur__dm_office_kachari_chowk_bhagalpur_bspcb,7,True,True,Valid AQI,323.85,Very Poor,CO
"Mayaganj, Bhagalpur - BSPCB",Bhagalpur,Bihar,25.265194,87.012947,2026-07-16 05:00:00,,,8.0,28.0,41.0,22.0,3.0,,,10.0,35.0,443.96,22.0,0.75,443.96,CO,Severe,2026-07-16 05:38:19,bihar__bhagalpur__mayaganj_bhagalpur_bspcb,5,False,False,Insufficient pollutants,,Unknown,
"D M Colony, Bihar Sharif - BSPCB",Bihar Sharif,Bihar,25.204762,85.51496,2026-07-16 05:00:00,29.0,22.0,9.0,7.0,104.0,2.0,3.0,48.33,22.0,11.25,8.75,500.0,2.0,0.75,500.0,CO,Severe,2026-07-16 05:38:19,bihar__bihar_sharif__d_m_colony_bihar_sharif_bspcb,7,True,True,Valid AQI,500.0,Severe,CO
"Charitra Van, Buxar - BSPCB",Buxar,Bihar,25.56752,83.966379,2026-07-16 05:00:00,51.0,44.0,9.0,30.0,25.0,41.0,3.0,84.79,44.0,11.25,37.5,347.28,41.0,0.75,347.28,CO,Very Poor,2026-07-16 05:38:19,bihar__buxar__charitra_van_buxar_bspcb,7,True,True,Valid AQI,347.28,Very Poor,CO
"Darshan Nagar, Chhapra - BSPCB",Chhapra,Bihar,25.7808257,84.7446768,2026-07-16 05:00:00,72.0,111.0,2.0,21.0,85.0,3.0,11.0,138.55,107.64,2.5,26.25,500.0,3.0,2.75,500.0,CO,Severe,2026-07-16 05:38:19,bihar__chhapra__darshan_nagar_chhapra_bspcb,7,True,True,Valid AQI,500.0,Severe,CO
"Kareemganj, Gaya - BSPCB",Gaya,Bihar,24.792403,84.992416,2026-07-16 05:00:00,60.0,97.0,12.0,41.0,38.0,29.0,1.0,100.0,97.0,15.0,51.0,425.28,29.0,0.25,425.28,CO,Severe,2026-07-16 05:38:19,bihar__gaya__kareemganj_gaya_bspcb,7,True,True,Valid AQI,425.28,Severe,CO
"SFTI Kusdihra, Gaya - BSPCB",Gaya,Bihar,24.762518,84.982348,2026-07-16 05:00:00,41.0,51.0,24.0,8.0,23.0,27.0,6.0,67.9,51.0,30.0,10.0,335.56,27.0,1.5,335.56,CO,Very Poor,2026-07-16 05:38:19,bihar__gaya__sfti_kusdihra_gaya_bspcb,7,True,True,Valid AQI,335.56,Very Poor,CO
"Industrial Area, Hajipur - BSPCB",Hajipur,Bihar,25.697189,85.2459,2026-07-16 05:00:00,74.0,71.0,13.0,4.0,35.0,208.0,15.0,145.38,71.0,16.25,5.0,406.6,300.0,3.75,406.6,CO,Severe,2026-07-16 05:38:19,bihar__hajipur__industrial_area_hajipur_bspcb,7,True,True,Valid AQI,406.6,Severe,CO
"Mirchaibari, Katihar - BSPCB",Katihar,Bihar,25.560083,87.553265,2026-07-16 05:00:00,9.0,10.0,2.0,22.0,90.0,27.0,1.0,15.0,10.0,2.5,27.5,500.0,27.0,0.25,500.0,CO,Severe,2026-07-16 05:38:19,bihar__katihar__mirchaibari_katihar_bspcb,7,True,True,Valid AQI,500.0,Severe,CO
"SDM Office_Khagra, Kishanganj - BSPCB",Kishanganj,Bihar,26.0881305,87.93840336,2026-07-16 05:00:00,47.0,44.0,8.0,8.0,14.0,33.0,3.0,78.03,44.0,10.0,10.0,256.96,33.0,0.75,256.96,CO,Poor,2026-07-16 05:38:19,bihar__kishanganj__sdm_office_khagra_kishanganj_bspcb,7,True,True,Valid AQI,256.96,Poor,CO
"Forest Rest House, Manguraha - BSPCB",Manguraha,Bihar,27.308328,84.531742,2026-07-16 05:00:00,,,,,31.0,29.0,1.0,,,,,382.43,29.0,0.25,382.43,CO,Very Poor,2026-07-16 05:38:19,bihar__manguraha__forest_rest_house_manguraha_bspcb,3,False,False,Insufficient pollutants,,Unknown,
"Gandak Colony, Motihari - BSPCB",Motihari,Bihar,26.63086,84.90051,2026-07-16 05:00:00,77.0,64.0,3.0,3.0,12.0,59.0,3.0,155.62,64.0,3.75,3.75,228.26,59.0,0.75,228.26,CO,Poor,2026-07-16 05:38:19,bihar__motihari__gandak_colony_motihari_bspcb,7,True,True,Valid AQI,228.26,Poor,CO
"Town Hall, Munger - BSPCB",Munger,Bihar,25.376776,86.471523,2026-07-16 05:00:00,44.0,68.0,2.0,11.0,36.0,4.0,3.0,72.97,68.0,2.5,13.75,412.83,4.0,0.75,412.83,CO,Severe,2026-07-16 05:38:19,bihar__munger__town_hall_munger_bspcb,7,True,True,Valid AQI,412.83,Severe,CO
"Buddha Colony, Muzaffarpur - BSPCB",Muzaffarpur,Bihar,26.11442,85.39813,2026-07-16 05:00:00,59.0,69.0,27.0,8.0,21.0,21.0,9.0,98.31,69.0,33.75,10.0,323.85,21.0,2.25,323.85,CO,Very Poor,2026-07-16 05:38:19,bihar__muzaffarpur__buddha_colony_muzaffarpur_bspcb,7,True,True,Valid AQI,323.85,Very Poor,CO
"MIT-Daudpur Kothi, Muzaffarpur - BSPCB",Muzaffarpur,Bihar,26.1403345,85.3650192,2026-07-16 05:00:00,35.0,34.0,5.0,18.0,37.0,53.0,2.0,57.76,34.0,6.25,22.5,419.06,53.0,0.5,419.06,CO,Severe,2026-07-16 05:38:19,bihar__muzaffarpur__mit_daudpur_kothi_muzaffarpur_bspcb,7,True,True,Valid AQI,419.06,Severe,CO
"Muzaffarpur Collectorate, Muzaffarpur - BSPCB",Muzaffarpur,Bihar,26.1209,85.3647,2026-07-16 05:00:00,44.0,,20.0,4.0,13.0,7.0,,72.97,,25.0,5.0,242.61,7.0,,242.61,CO,Poor,2026-07-16 05:38:19,bihar__muzaffarpur__muzaffarpur_collectorate_muzaffarpur_bspcb,5,True,True,Valid AQI,242.61,Poor,CO
"DRM Office Danapur, Patna - BSPCB",Patna,Bihar,25.586562,85.043586,2026-07-16 05:00:00,44.0,80.0,32.0,6.0,36.0,12.0,9.0,72.97,80.0,40.0,7.5,412.83,12.0,2.25,412.83,CO,Severe,2026-07-16 05:38:19,bihar__patna__drm_office_danapur_patna_bspcb,7,True,True,Valid AQI,412.83,Severe,CO
"Govt. High School Shikarpur, Patna - BSPCB",Patna,Bihar,25.592539,85.227158,2026-07-16 05:00:00,36.0,57.0,12.0,13.0,40.0,29.0,6.0,59.45,57.0,15.0,16.25,437.74,29.0,1.5,437.74,CO,Severe,2026-07-16 05:38:19,bihar__patna__govt_high_school_shikarpur_patna_bspcb,7,True,True,Valid AQI,437.74,Severe,CO
"IGSC Planetarium Complex, Patna - BSPCB",Patna,Bihar,25.610369,85.132568,2026-07-16 05:00:00,61.0,,1.0,1.0,6.0,60.0,,101.0,,1.25,1.25,149.87,60.0,,149.87,CO,Moderate,2026-07-16 05:38:19,bihar__patna__igsc_planetarium_complex_patna_bspcb,5,True,True,Valid AQI,149.87,Moderate,CO
"Muradpur, Patna - BSPCB",Patna,Bihar,25.619651,85.147382,2026-07-16 05:00:00,44.0,84.0,3.0,12.0,54.0,10.0,5.0,72.97,84.0,3.75,15.0,500.0,10.0,1.25,500.0,CO,Severe,2026-07-16 05:38:19,bihar__patna__muradpur_patna_bspcb,7,True,True,Valid AQI,500.0,Severe,CO
"Rajbansi Nagar, Patna - BSPCB",Patna,Bihar,25.599486,85.113666,2026-07-16 05:00:00,35.0,48.0,31.0,9.0,30.0,30.0,3.0,57.76,48.0,38.75,11.25,376.57,30.0,0.75,376.57,CO,Very Poor,2026-07-16 05:38:19,bihar__patna__rajbansi_nagar_patna_bspcb,7,True,True,Valid AQI,376.57,Very Poor,CO
"Samanpura, Patna - BSPCB",Patna,Bihar,25.596727,85.085624,2026-07-16 05:00:00,41.0,100.0,24.0,5.0,24.0,45.0,5.0,67.9,100.0,30.0,6.25,341.42,45.0,1.25,341.42,CO,Very Poor,2026-07-16 05:38:19,bihar__patna__samanpura_patna_bspcb,7,True,True,Valid AQI,341.42,Very Poor,CO
"Mariam Nagar, Purnia - BSPCB",Purnia,Bihar,25.366336,87.117468,2026-07-16 05:00:00,57.0,45.0,6.0,16.0,56.0,21.0,2.0,94.93,45.0,7.5,20.0,500.0,21.0,0.5,500.0,CO,Severe,2026-07-16 05:38:19,bihar__purnia__mariam_nagar_purnia_bspcb,7,True,True,Valid AQI,500.0,Severe,CO
"Dangi Tola, Rajgir - BSPCB",Rajgir,Bihar,25.0328,85.41948,2026-07-16 05:00:00,51.0,47.0,14.0,3.0,43.0,27.0,3.0,84.79,47.0,17.5,3.75,456.42,27.0,0.75,456.42,CO,Severe,2026-07-16 05:38:19,bihar__rajgir__dangi_tola_rajgir_bspcb,7,True,True,Valid AQI,456.42,Severe,CO
"Police Line, Saharsa - BSPCB",Saharsa,Bihar,25.892357,86.590325,2026-07-16 05:00:00,,88.0,7.0,17.0,39.0,17.0,4.0,,88.0,8.75,21.25,431.51,17.0,1.0,431.51,CO,Severe,2026-07-16 05:38:19,bihar__saharsa__police_line_saharsa_bspcb,6,True,True,Valid AQI,431.51,Severe,CO
