state,city,stations,mean_current_aqi,max_current_aqi,mean_forecast_aqi,max_forecast_aqi,mean_priority_score,max_priority_score,current_hotspot_stations,forecast_hotspot_stations,emerging_hotspot_stations,mean_health_exposure_risk,mean_dispersion_index,mean_satellite_aerosol_proxy,city_priority_rank
West Bengal,Kolkata,7,345.45,450.19,348.08,431.72,50.19,63.78,7,7,0,51.7,67.49,22.61,81
Assam,Silchar,1,388.28,388.28,384.13,384.13,50.09,50.09,1,1,0,52.88,64.58,16.99,82
Gujarat,Ahmedabad,8,378.28,500.0,380.04,500.0,49.56,63.85,7,7,0,54.27,56.29,21.68,83
Uttar Pradesh,Greater Noida,2,345.18,419.06,340.59,410.33,49.48,54.55,2,2,0,53.38,38.98,44.97,84
Uttar Pradesh,Bulandshahr,1,388.28,388.28,399.14,399.14,49.48,49.48,1,1,0,55.3,40.34,31.19,84
Haryana,Panipat,1,353.14,353.14,371.59,371.59,49.4,49.4,1,1,0,49.68,50.65,32.97,85
Chhattisgarh,Kunjemura,1,329.7,329.7,334.72,334.72,49.32,49.32,1,1,0,46.73,78.18,18.02,86
Maharashtra,Pune,5,423.16,500.0,430.64,500.0,49.13,57.31,5,5,0,57.44,43.25,19.19,87
Bihar,Muzaffarpur,3,328.51,419.06,322.36,406.23,48.71,55.61,3,3,0,48.73,68.47,24.05,88
Maharashtra,Mahad,1,329.7,329.7,326.54,326.54,48.45,48.45,1,1,0,49.73,62.67,26.6,89
Karnataka,Dharwad,1,431.51,431.51,433.62,433.62,48.44,48.44,1,1,0,58.96,24.7,31.03,90
Gujarat,Surat,2,418.87,437.74,397.29,402.59,48.4,50.47,2,2,0,55.09,51.3,16.56,91
Andhra Pradesh,Nellore,1,412.83,412.83,417.5,417.5,48.36,48.36,1,1,0,56.54,32.24,29.59,92
Haryana,Rohtak,1,425.28,425.28,428.22,428.22,47.66,47.66,1,1,0,61.83,15.8,33.1,93
Odisha,Barbil,1,312.13,312.13,315.31,315.31,47.57,47.57,1,1,0,46.6,67.25,24.97,94
Kerala,Thrissur,1,329.7,329.7,322.65,322.65,47.47,47.47,1,1,0,48.19,63.3,24.59,95
Odisha,Keonjhar,1,406.6,406.6,408.6,408.6,47.33,47.33,1,1,0,53.63,40.67,23.13,96
Madhya Pradesh,Jabalpur,4,377.86,493.77,349.12,459.95,47.02,56.3,4,3,1,50.54,52.98,22.71,97
Maharashtra,Aurangabad,3,404.04,500.0,399.79,500.0,47.01,54.54,3,3,1,55.35,36.14,24.74,98
Rajasthan,Dausa,1,431.51,431.51,433.42,433.42,47.01,47.01,1,1,0,56.87,22.26,30.29,98
Andhra Pradesh,Rajamahendravaram,1,353.14,353.14,365.44,365.44,46.97,46.97,1,1,0,50.93,45.57,28.18,99
Andhra Pradesh,Tirupati,1,323.85,323.85,325.02,325.02,46.84,46.84,1,1,0,48.65,53.25,30.74,100
Chhattisgarh,Bhilai,3,339.33,382.43,347.88,393.49,46.75,53.57,3,3,0,47.35,62.53,19.38,101
Karnataka,Shivamogga,1,364.85,364.85,360.11,360.11,46.67,46.67,1,1,0,50.12,48.95,25.69,102
Tamil Nadu,Gummidipoondi,1,259.03,259.03,272.78,272.78,46.62,46.62,1,1,0,47.27,56.24,38.16,103
Uttarakhand,Kashipur,1,306.27,306.27,308.55,308.55,46.61,46.61,1,1,0,47.26,67.06,22.0,104
Uttar Pradesh,Raebareli,2,500.0,500.0,500.0,500.0,46.11,71.94,1,1,0,42.76,70.82,27.1,105
Rajasthan,Baran,1,412.83,412.83,412.34,412.34,46.02,46.02,1,1,0,54.83,28.7,26.92,106
Madhya Pradesh,Sagar,1,406.6,406.6,407.13,407.13,45.85,45.85,1,1,0,53.69,36.2,21.82,107
Andhra Pradesh,Chittoor,1,323.85,323.85,319.25,319.25,45.69,45.69,1,1,0,48.69,49.15,30.85,108
Chhattisgarh,Tumidih,1,271.3,271.3,288.35,288.35,45.57,45.57,1,1,0,41.86,75.59,20.21,109
Rajasthan,Alwar,1,347.28,347.28,324.32,324.32,45.52,45.52,1,1,0,53.86,27.22,42.01,110
Meghalaya,Byrnihat,1,214.66,214.66,214.66,214.66,45.43,45.43,1,1,0,41.48,83.52,26.36,111
Rajasthan,Dungarpur,1,376.57,376.57,376.65,376.65,45.39,45.39,1,1,0,50.87,46.76,19.31,112
Rajasthan,Rajsamand,1,382.43,382.43,307.86,307.86,45.3,45.3,1,1,0,48.77,53.8,23.01,113
Madhya Pradesh,Mandideep,1,353.14,353.14,343.55,343.55,45.19,45.19,1,1,0,50.18,38.68,32.0,114
Bihar,Begusarai,1,300.0,300.0,298.72,298.72,45.14,45.14,1,1,0,43.44,70.79,19.23,115
Maharashtra,Boisar,1,285.65,285.65,306.6,306.6,45.13,45.13,1,1,0,43.32,65.09,23.05,116
Karnataka,Karwar,1,364.85,364.85,353.65,353.65,44.9,44.9,1,1,0,48.62,50.86,19.84,117
Odisha,Balasore,1,394.14,394.14,396.01,396.01,44.82,44.82,1,1,0,50.61,42.57,17.75,118
Rajasthan,Sri Ganganagar,1,306.27,306.27,354.2,354.2,44.82,44.82,1,1,1,46.36,39.55,32.67,118
Rajasthan,Tonk,1,388.28,388.28,367.19,367.19,44.7,44.7,1,1,0,52.75,27.84,32.03,119
Bihar,Araria,1,317.99,317.99,323.27,323.27,44.7,44.7,1,1,0,44.08,65.97,16.81,119
Madhya Pradesh,Gwalior,3,393.18,425.28,408.97,449.07,44.51,48.3,3,3,1,53.66,24.37,27.1,120
Maharashtra,Virar,1,353.14,353.14,365.25,365.25,44.42,44.42,1,1,0,48.46,43.63,23.27,121
Andhra Pradesh,Eluru,1,306.27,306.27,324.35,324.35,44.41,44.41,1,1,0,45.32,55.93,23.11,122
Odisha,Talcher,1,353.14,353.14,351.33,351.33,44.27,44.27,1,1,0,45.75,50.65,21.93,123
West Bengal,Howrah,5,342.42,500.0,345.31,499.81,44.23,64.69,4,4,0,41.37,69.41,21.4,124
Haryana,Panchkula,1,312.13,312.13,310.57,310.57,44.22,44.22,1,1,0,45.08,68.87,13.5,125
Karnataka,Ramanagara,1,335.56,335.56,339.41,339.41,44.22,44.22,1,1,0,46.45,55.46,18.87,125
Uttar Pradesh,Bareilly,2,284.54,394.14,291.07,396.65,44.03,54.68,1,1,0,41.58,74.81,15.03,126
Bihar,Motihari,1,228.26,228.26,232.46,232.46,43.93,43.93,1,1,0,40.51,69.79,30.97,127
Andhra Pradesh,Anantapur,1,329.7,329.7,333.99,333.99,43.9,43.9,1,1,0,49.71,36.18,32.28,128
Assam,Nalbari,1,323.85,323.85,287.28,287.28,43.84,43.84,1,1,0,47.06,56.4,23.16,129
Andhra Pradesh,Kadapa,1,364.85,364.85,376.07,376.07,43.76,43.76,1,1,0,49.87,34.19,25.72,130
Bihar,Kishanganj,1,256.96,256.96,256.98,256.98,43.7,43.7,1,1,0,40.24,73.48,22.71,131
Tamil Nadu,Chennai,6,331.7,500.0,292.6,495.94,43.58,58.12,4,4,0,47.47,46.72,29.27,132
Uttar Pradesh,Varanasi,4,212.68,323.85,221.23,316.97,43.39,51.94,2,3,0,36.36,81.72,24.94,133
Tamil Nadu,Thoothukudi,1,376.57,376.57,338.69,338.69,43.32,43.32,1,1,0,45.98,48.08,20.55,134
Gujarat,Gandhinagar,3,367.18,412.83,369.45,413.19,43.02,46.16,3,3,0,47.75,46.42,15.54,135
Madhya Pradesh,Indore,5,349.81,500.0,354.87,499.23,42.48,54.99,4,4,0,48.64,40.63,20.31,136
Chhattisgarh,Chhal,1,213.91,213.91,239.69,239.69,42.25,42.25,1,1,1,36.28,76.26,22.33,137
Madhya Pradesh,Singrauli,1,98.0,98.0,337.39,337.39,42.19,42.19,0,1,1,28.43,61.92,27.46,138
Maharashtra,Nagpur,4,300.65,364.85,313.08,368.32,42.09,47.84,4,4,1,44.44,49.74,23.07,139
Karnataka,Kalaburagi,1,382.43,382.43,383.67,383.67,42.07,42.07,1,1,0,48.0,39.22,15.71,140
Uttar Pradesh,Firozabad,2,371.46,419.06,374.22,424.74,41.88,44.58,2,2,0,48.25,39.02,16.59,141
Rajasthan,Ajmer,1,300.0,300.0,331.01,331.01,41.49,41.49,1,1,1,46.83,26.56,35.61,142
Madhya Pradesh,Ujjain,1,347.28,347.28,348.03,348.03,41.48,41.48,1,1,0,46.32,42.31,19.07,143
Madhya Pradesh,Satna,1,306.27,306.27,311.4,311.4,41.47,41.47,1,1,0,43.5,51.5,20.57,144
Chhattisgarh,Korba,2,233.52,329.7,248.45,339.93,41.06,51.07,1,1,0,35.43,77.36,16.33,145
Maharashtra,Badlapur,1,312.13,312.13,313.35,313.35,40.84,40.84,1,1,0,43.11,48.87,20.67,146
Haryana,Mandikhera,1,394.14,394.14,394.02,394.02,40.77,40.77,1,1,0,50.66,18.39,24.66,147
Madhya Pradesh,Pithampur,1,152.21,152.21,358.54,358.54,40.74,40.74,0,1,1,37.11,42.37,24.1,148
Odisha,Tensa,1,55.0,55.0,364.56,364.56,40.6,40.6,0,1,1,27.35,68.31,16.18,149
Uttarakhand,Dehradun,1,200.0,200.0,212.52,212.52,40.53,40.53,0,1,0,36.51,73.89,22.74,150
Uttar Pradesh,Agra,6,313.6,341.42,315.78,341.55,40.24,45.34,6,6,0,46.06,37.99,24.42,151
Andhra Pradesh,Guntur,1,271.3,271.3,302.9,302.9,40.21,40.21,1,1,1,40.67,43.34,27.87,152
Rajasthan,Bhiwadi,2,332.42,364.85,327.03,362.3,40.1,45.84,2,2,0,48.16,21.94,33.6,153
West Bengal,Durgapur,3,225.9,341.42,379.68,490.07,39.85,43.89,2,3,1,37.96,44.07,19.37,154
Maharashtra,Mumbai,21,303.26,456.42,310.38,497.32,39.75,58.13,16,17,2,41.1,52.88,17.53,155
Maharashtra,Nanded,1,323.85,323.85,322.82,322.82,39.75,39.75,1,1,0,42.04,42.33,21.95,155
Rajasthan,Karauli,1,306.27,306.27,329.78,329.78,39.68,39.68,1,1,0,45.71,23.62,33.04,156
Maharashtra,Ulhasnagar,2,332.63,335.56,331.14,335.01,39.51,41.18,2,2,0,43.31,45.17,15.54,157
Tripura,Agartala,1,341.42,341.42,346.64,346.64,39.37,39.37,1,1,0,45.59,29.06,24.18,158
Rajasthan,Kota,3,320.64,406.6,330.93,412.7,39.13,45.86,3,3,0,43.52,35.03,23.07,159
Haryana,Narnaul,1,304.07,304.07,305.06,305.06,39.07,39.07,1,1,0,48.46,15.12,38.93,160
Karnataka,Chamarajanagar,1,329.7,329.7,326.52,326.52,39.01,39.01,1,1,0,42.26,40.38,19.89,161
Andhra Pradesh,Machilipatnam,1,317.99,317.99,343.04,343.04,38.98,38.98,1,1,1,43.89,30.5,23.92,162
Odisha,Rairangpur,1,271.3,271.3,280.69,280.69,38.81,38.81,1,1,0,36.91,61.05,15.11,163
Maharashtra,Belapur,1,285.65,285.65,303.56,303.56,38.58,38.58,1,1,0,40.21,42.78,22.72,164
Karnataka,Chikkaballapur,1,347.28,347.28,344.65,344.65,38.43,38.43,1,1,0,42.67,34.7,19.11,165
West Bengal,Asansol,4,361.65,481.32,360.86,469.69,38.15,53.26,3,3,0,38.0,54.35,16.4,166
Telangana,Hyderabad,12,301.24,431.51,300.99,406.53,38.1,48.9,10,10,1,41.5,41.33,20.65,167
Uttar Pradesh,Baghpat,1,256.96,256.96,262.04,262.04,37.84,37.84,1,1,0,37.59,47.7,26.08,168
Haryana,Bhiwani,1,312.13,312.13,314.03,314.03,37.79,37.79,1,1,0,46.36,24.51,27.39,169
Maharashtra,Mira-Bhayandar,1,300.0,300.0,314.92,314.92,37.71,37.71,1,1,0,39.23,51.6,10.63,170
Maharashtra,Thane,2,249.78,271.3,272.85,289.65,37.58,42.21,2,2,1,34.86,59.43,15.66,171
Uttar Pradesh,Mathura,1,300.0,300.0,308.48,308.48,37.42,37.42,1,1,0,42.33,33.62,23.35,172
Uttar Pradesh,Hapur,1,114.66,114.66,314.11,314.11,37.32,37.32,0,1,1,30.47,44.16,25.31,173
Jammu and Kashmir,Srinagar,2,236.15,271.3,229.71,265.51,37.29,37.86,2,1,0,35.8,62.76,17.99,174
Rajasthan,Khairthal,1,306.27,306.27,309.27,309.27,37.23,37.23,1,1,0,44.92,19.87,31.93,175
Uttar Pradesh,Prayagraj,3,216.48,256.96,228.22,266.61,37.2,41.76,2,2,0,32.39,68.42,17.07,176
Madhya Pradesh,Bhopal,3,224.81,312.13,300.53,374.69,37.17,43.13,2,2,1,36.63,39.7,24.54,177
Maharashtra,Bhiwandi,1,228.26,228.26,264.26,264.26,37.1,37.1,1,1,1,34.08,54.43,20.75,178
Karnataka,Chikkamagaluru,1,271.3,271.3,272.66,272.66,37.0,37.0,1,1,0,36.67,47.14,22.58,179
Madhya Pradesh,Damoh,1,323.85,323.85,296.23,296.23,37.0,37.0,1,1,0,40.5,42.28,16.71,179
Chhattisgarh,Raipur,4,310.04,317.99,308.74,315.13,36.89,44.47,3,3,0,33.53,64.56,14.74,180
Karnataka,Bengaluru,10,253.32,500.0,252.73,493.06,36.87,60.25,5,5,1,36.4,51.0,22.0,181
Maharashtra,Nashik,4,298.78,394.14,302.34,399.57,36.8,45.15,3,4,0,40.75,41.82,16.58,182
Madhya Pradesh,Maihar,1,329.7,329.7,326.81,326.81,36.76,36.76,1,1,0,39.54,42.38,12.76,183
Rajasthan,Churu,1,312.13,312.13,327.31,327.31,36.5,36.5,1,1,0,41.48,22.52,27.45,184
Chhattisgarh,Milupara,1,162.41,162.41,180.47,180.47,36.44,36.44,0,0,0,27.19,80.33,18.05,185
Madhya Pradesh,Dewas,1,109.0,109.0,301.54,301.54,36.23,36.23,0,1,1,26.77,39.63,31.81,186
Uttar Pradesh,Gorakhpur,1,137.34,137.34,138.28,138.28,35.8,35.8,0,0,0,22.99,88.06,21.18,187
Karnataka,Madikeri,1,242.61,242.61,238.26,238.26,35.08,35.08,1,1,0,32.14,61.32,13.77,188
Maharashtra,Malegaon,1,271.3,271.3,279.29,279.29,34.82,34.82,1,1,0,38.83,33.93,22.63,189
Nagaland,Kohima,1,124.81,124.81,138.87,138.87,34.57,34.57,0,0,0,22.17,96.59,10.45,190
Rajasthan,Sawai Madhopur,1,285.65,285.65,292.64,292.64,34.53,34.53,1,1,0,37.31,26.34,27.68,191
Rajasthan,Hanumangarh,1,300.0,300.0,302.83,302.83,34.17,34.17,1,1,0,37.35,32.1,19.32,192
Rajasthan,Bundi,1,256.96,256.96,269.52,269.52,34.13,34.13,1,1,0,34.34,37.63,23.61,193
Karnataka,Vijayapura,1,329.7,329.7,336.25,336.25,33.73,33.73,1,1,0,39.51,26.81,13.91,194
Maharashtra,Ambernath,1,242.61,242.61,268.88,268.88,33.61,33.61,1,1,1,33.24,45.17,16.21,195
Karnataka,Bagalkot,1,341.42,341.42,324.21,324.21,33.46,33.46,1,1,0,40.12,24.56,15.39,196
Uttar Pradesh,Khurja,1,271.3,271.3,279.82,279.82,33.36,33.36,1,1,0,35.09,39.38,16.47,197
Maharashtra,Beed,1,256.96,256.96,290.81,290.81,33.36,33.36,1,1,1,33.64,38.64,16.71,197
Rajasthan,Dholpur,1,323.85,323.85,333.56,333.56,33.32,33.32,1,1,0,40.65,22.5,15.43,198
Rajasthan,Nagaur,1,306.27,306.27,292.54,292.54,33.28,33.28,1,1,0,37.75,28.2,20.08,199
Rajasthan,Bikaner,1,256.96,256.96,290.91,290.91,33.23,33.23,1,1,1,33.9,29.09,24.46,200
Rajasthan,Pratapgarh,1,300.0,300.0,302.56,302.56,33.21,33.21,1,1,0,37.0,28.18,19.69,201
Maharashtra,Kalyan,2,437.74,437.74,437.83,437.83,33.12,54.78,1,1,0,32.91,51.12,12.92,202
Odisha,Suakati,1,174.94,174.94,178.49,178.49,32.65,32.65,0,0,0,27.09,54.92,27.25,203
Rajasthan,Banswara,1,187.47,187.47,198.34,198.34,32.52,32.52,0,0,0,29.95,45.95,27.95,204
Karnataka,Mangalore,1,83.1,83.1,83.68,83.68,32.06,32.06,0,0,0,19.5,85.4,23.44,205
Bihar,Bhagalpur,2,323.85,323.85,334.02,334.02,31.92,46.03,1,1,0,26.92,58.81,17.94,206
Maharashtra,Navi Mumbai,6,237.67,481.32,243.01,478.87,31.89,55.94,4,4,0,31.32,45.69,14.9,207
Puducherry,Puducherry,1,285.65,285.65,291.07,291.07,31.87,31.87,1,1,0,34.89,32.76,15.03,208
