state,city,stations,mean_current_aqi,max_current_aqi,mean_forecast_aqi,max_forecast_aqi,mean_priority_score,max_priority_score,current_hotspot_stations,forecast_hotspot_stations,emerging_hotspot_stations,mean_health_exposure_risk,mean_dispersion_index,mean_satellite_aerosol_proxy,city_priority_rank
Karnataka,Koppal,1,323.85,323.85,325.56,325.56,29.5,29.5,1,1,0,35.34,19.73,11.19,220
Sikkim,Gangtok,1,124.81,124.81,139.44,139.44,29.18,29.18,0,0,0,18.93,80.19,7.91,221
Maharashtra,Latur,1,228.26,228.26,251.01,251.01,28.91,28.91,1,1,0,29.06,36.3,14.62,222
Maharashtra,Dombivli,1,242.61,242.61,252.4,252.4,28.76,28.76,1,1,0,28.21,42.72,9.07,223
Karnataka,Mysuru,1,64.0,64.0,279.84,279.84,28.67,28.67,0,1,1,19.26,37.1,18.73,224
Maharashtra,Solapur,2,234.34,306.27,252.09,328.75,28.57,35.88,1,1,0,29.3,34.99,14.07,225
Maharashtra,Sangli,1,242.61,242.61,237.19,237.19,28.34,28.34,1,1,0,29.38,35.6,15.01,226
Uttar Pradesh,Jhansi,1,174.94,174.94,192.45,192.45,28.3,28.3,0,0,0,23.67,50.69,16.13,227
Rajasthan,Barmer,1,200.0,200.0,240.82,240.82,28.21,28.21,0,1,1,27.02,34.11,18.06,228
Uttar Pradesh,Vrindavan,1,200.0,200.0,202.14,202.14,27.81,27.81,0,1,0,28.07,34.44,22.21,229
Karnataka,Hubballi,1,256.96,256.96,268.86,268.86,27.69,27.69,1,1,0,31.85,17.87,20.15,230
Gujarat,Vapi,1,121.48,121.48,118.86,118.86,27.61,27.61,0,0,0,22.3,54.82,24.61,231
Rajasthan,Jaisalmer,1,228.26,228.26,219.64,219.64,27.54,27.54,1,1,0,28.6,25.67,24.79,232
Rajasthan,Jodhpur,5,282.28,456.42,281.2,437.1,27.15,48.28,3,3,0,28.65,29.84,16.58,233
Rajasthan,Jhunjhunu,1,200.0,200.0,211.67,211.67,27.04,27.04,0,1,0,27.66,24.41,27.05,234
Rajasthan,Bharatpur,1,228.26,228.26,230.06,230.06,26.95,26.95,1,1,0,27.28,33.16,16.03,235
Bihar,Aurangabad,1,,,,,26.85,26.85,0,0,0,11.13,83.88,19.26,236
Odisha,Baripada,1,124.81,124.81,131.65,131.65,25.57,25.57,0,0,0,17.92,57.66,17.26,237
Maharashtra,Hingoli,1,187.47,187.47,212.13,212.13,25.57,25.57,0,1,0,22.96,38.59,14.07,237
Maharashtra,Jalna,1,213.91,213.91,195.68,195.68,25.37,25.37,1,0,0,24.93,38.06,13.51,238
Jammu and Kashmir,Pampore,1,,,94.69,94.69,23.92,23.92,0,0,0,14.92,64.55,17.24,239
Bihar,Siwan,1,,,,,23.63,23.63,0,0,0,9.55,74.25,17.66,240
Bihar,Manguraha,1,,,,,23.57,23.57,0,0,0,9.42,78.09,14.15,241
Odisha,Byasanagar,1,,,,,23.54,23.54,0,0,0,9.4,78.08,14.08,242
Andhra Pradesh,Kurnool,1,174.94,174.94,202.27,202.27,23.36,23.36,0,1,1,23.88,20.84,22.47,243
Maharashtra,Kolhapur,2,162.4,174.94,155.36,172.92,22.59,23.81,0,0,0,19.63,38.84,16.42,244
Bihar,Sasaram,1,,,,,22.44,22.44,0,0,0,8.86,74.82,13.51,245
Mizoram,Aizawl,1,112.28,112.28,112.26,112.26,20.69,20.69,0,0,0,12.73,61.39,4.57,246
Bihar,Bettiah,1,,,,,20.64,20.64,0,0,0,8.01,68.58,13.36,247
Karnataka,Gadag,1,242.61,242.61,235.55,235.55,20.43,20.43,1,1,0,24.14,16.49,8.31,248
Karnataka,Yadgir,1,213.91,213.91,60.78,60.78,18.82,18.82,1,0,0,15.7,39.17,14.85,249
Meghalaya,Shillong,1,,,,,16.85,16.85,0,0,0,6.08,60.21,8.94,250
Tamil Nadu,Madurai,1,,,,,15.65,15.65,0,0,0,5.54,55.28,9.53,251
Haryana,Kaithal,1,,,,,15.36,15.36,0,0,0,5.4,54.34,9.45,252
Tamil Nadu,Cuddalore,2,59.0,59.0,58.86,58.86,14.86,15.78,0,0,0,5.25,56.08,5.58,253
Kerala,Thiruvananthapuram,1,,,,,14.44,14.44,0,0,0,5.04,47.94,12.15,254
Uttar Pradesh,Modinagar,1,,,,,12.58,12.58,0,0,0,4.09,44.28,9.61,255
